Name,Team,xMLBAMID,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,xAVG,SLG,xSLG
Bryce Johnson,SDP,669369,55.0,76.0,84.0,26.0,21.0,4.0,0.0,1.0,9.0,8.0,3.0,0.0,19.0,2.0,0.0,3.0,1.0,4.0,1.0,0.342,0.301,0.434,0.403
Joey Loperfido,TOR,694388,41.0,96.0,104.0,32.0,24.0,4.0,0.0,4.0,12.0,14.0,4.0,0.0,27.0,3.0,0.0,1.0,2.0,1.0,2.0,0.333,0.268,0.5,0.403
Aaron Judge,NYY,592450,152.0,541.0,679.0,179.0,94.0,30.0,2.0,53.0,137.0,114.0,124.0,36.0,160.0,7.0,7.0,0.0,16.0,12.0,5.0,0.331,0.315,0.688,0.735
Miguel Andujar,CIN,609280,94.0,321.0,341.0,102.0,74.0,17.0,1.0,10.0,36.0,44.0,17.0,1.0,49.0,1.0,2.0,0.0,8.0,1.0,0.0,0.318,0.269,0.47,0.394
Jonathan Aranda,TBR,666018,106.0,370.0,422.0,117.0,81.0,22.0,0.0,14.0,56.0,59.0,41.0,3.0,107.0,8.0,3.0,0.0,9.0,0.0,2.0,0.316,0.3,0.489,0.529
Jacob Wilson,ATH,805779,125.0,486.0,523.0,151.0,112.0,26.0,0.0,13.0,62.0,63.0,27.0,1.0,39.0,7.0,1.0,2.0,16.0,5.0,2.0,0.311,0.281,0.444,0.367
George Springer,TOR,543807,140.0,498.0,586.0,154.0,94.0,27.0,1.0,32.0,106.0,84.0,69.0,3.0,111.0,8.0,4.0,0.0,14.0,18.0,1.0,0.309,0.303,0.56,0.592
Carlos Cortes,ATH,666126,42.0,94.0,99.0,29.0,16.0,8.0,1.0,4.0,11.0,14.0,3.0,0.0,20.0,0.0,2.0,0.0,3.0,0.0,0.0,0.309,0.28,0.543,0.462
Romy Gonzalez,BOS,663853,96.0,315.0,341.0,96.0,61.0,23.0,3.0,9.0,47.0,53.0,18.0,1.0,81.0,3.0,5.0,0.0,8.0,6.0,5.0,0.305,0.29,0.483,0.501
Jeremy Pena,HOU,665161,125.0,493.0,543.0,150.0,101.0,30.0,2.0,17.0,68.0,62.0,35.0,2.0,93.0,12.0,2.0,1.0,9.0,20.0,2.0,0.304,0.28,0.477,0.448
Trea Turner,PHI,607208,141.0,589.0,639.0,179.0,126.0,31.0,7.0,15.0,94.0,69.0,43.0,1.0,107.0,5.0,2.0,0.0,11.0,36.0,7.0,0.304,0.278,0.457,0.416
Luke Keaschall,MIN,807712,49.0,182.0,207.0,55.0,37.0,14.0,0.0,4.0,25.0,28.0,19.0,0.0,29.0,5.0,1.0,0.0,4.0,14.0,3.0,0.302,0.27,0.445,0.386
Dominic Canzone,SEA,686527,82.0,243.0,268.0,73.0,51.0,11.0,0.0,11.0,30.0,32.0,20.0,0.0,59.0,3.0,2.0,0.0,6.0,3.0,1.0,0.3,0.302,0.481,0.537
Yandy Diaz,TBR,650490,150.0,583.0,651.0,175.0,120.0,29.0,1.0,25.0,79.0,83.0,57.0,4.0,92.0,6.0,5.0,0.0,12.0,3.0,1.0,0.3,0.297,0.482,0.474
Daylen Lile,WSN,695734,91.0,321.0,351.0,96.0,61.0,15.0,11.0,9.0,51.0,41.0,21.0,0.0,56.0,4.0,3.0,1.0,5.0,8.0,6.0,0.299,0.309,0.498,0.456
Nico Hoerner,CHC,663538,156.0,599.0,649.0,178.0,138.0,29.0,4.0,7.0,89.0,61.0,39.0,1.0,49.0,7.0,4.0,0.0,4.0,29.0,6.0,0.297,0.298,0.394,0.398
Nate Eaton,BOS,681987,41.0,81.0,90.0,24.0,19.0,4.0,0.0,1.0,16.0,4.0,6.0,0.0,19.0,1.0,1.0,1.0,1.0,9.0,2.0,0.296,0.251,0.383,0.379
Jake Mangum,TBR,663968,118.0,405.0,428.0,120.0,98.0,18.0,1.0,3.0,37.0,40.0,19.0,0.0,64.0,2.0,1.0,1.0,4.0,27.0,6.0,0.296,0.259,0.368,0.348
Will Smith,LAD,669257,110.0,362.0,436.0,107.0,69.0,20.0,1.0,17.0,64.0,61.0,64.0,1.0,89.0,5.0,5.0,0.0,7.0,2.0,3.0,0.296,0.28,0.497,0.506
Bobby Witt Jr.,KCR,677951,157.0,623.0,687.0,184.0,108.0,47.0,6.0,23.0,99.0,88.0,49.0,8.0,125.0,8.0,7.0,0.0,7.0,38.0,9.0,0.295,0.299,0.501,0.521
Freddie Freeman,LAD,518692,147.0,556.0,627.0,164.0,99.0,39.0,2.0,24.0,81.0,90.0,60.0,7.0,128.0,6.0,5.0,0.0,13.0,6.0,2.0,0.295,0.275,0.502,0.479
Chandler Simpson,TBR,802415,109.0,414.0,441.0,122.0,104.0,15.0,3.0,0.0,53.0,26.0,20.0,0.0,43.0,0.0,2.0,3.0,10.0,44.0,12.0,0.295,0.299,0.345,0.343
Josh Naylor,SEA,647304,147.0,543.0,604.0,160.0,110.0,29.0,1.0,20.0,81.0,92.0,48.0,4.0,83.0,4.0,5.0,0.0,17.0,30.0,2.0,0.295,0.277,0.462,0.439
Vladimir Guerrero Jr.,TOR,665489,156.0,589.0,680.0,172.0,115.0,34.0,0.0,23.0,96.0,84.0,81.0,8.0,94.0,6.0,4.0,0.0,17.0,6.0,3.0,0.292,0.315,0.467,0.521
Luis Arraez,SDP,650333,154.0,620.0,675.0,181.0,139.0,30.0,4.0,8.0,66.0,61.0,34.0,0.0,21.0,2.0,7.0,12.0,12.0,11.0,4.0,0.292,0.289,0.392,0.364
Jakob Marsee,MIA,805300,55.0,209.0,234.0,61.0,35.0,18.0,3.0,5.0,28.0,33.0,22.0,0.0,48.0,2.0,1.0,0.0,2.0,14.0,6.0,0.292,0.283,0.478,0.45
Roman Anthony,BOS,701350,71.0,257.0,303.0,75.0,48.0,18.0,1.0,8.0,48.0,32.0,40.0,0.0,84.0,5.0,1.0,0.0,2.0,4.0,1.0,0.292,0.268,0.463,0.499
Jake Meyers,HOU,676694,104.0,343.0,381.0,100.0,80.0,15.0,2.0,3.0,53.0,24.0,31.0,0.0,67.0,3.0,2.0,2.0,9.0,16.0,5.0,0.292,0.279,0.373,0.414
Nick Kurtz,ATH,701762,117.0,420.0,489.0,122.0,58.0,26.0,2.0,36.0,90.0,86.0,63.0,3.0,151.0,2.0,3.0,0.0,4.0,2.0,1.0,0.29,0.255,0.619,0.55
Ronald Acuna Jr.,ATL,660670,95.0,338.0,412.0,98.0,64.0,12.0,1.0,21.0,74.0,42.0,71.0,4.0,102.0,3.0,0.0,0.0,5.0,9.0,1.0,0.29,0.274,0.518,0.552
Geraldo Perdomo,ARI,672695,161.0,597.0,720.0,173.0,115.0,33.0,5.0,20.0,98.0,100.0,94.0,1.0,83.0,10.0,11.0,8.0,11.0,27.0,6.0,0.29,0.285,0.462,0.432
Alec Burleson,STL,676475,139.0,497.0,546.0,144.0,98.0,26.0,2.0,18.0,54.0,69.0,39.0,1.0,79.0,3.0,4.0,1.0,14.0,5.0,1.0,0.29,0.28,0.459,0.478
Tyler Heineman,TOR,623168,64.0,149.0,174.0,43.0,31.0,8.0,1.0,3.0,25.0,20.0,12.0,0.0,31.0,6.0,2.0,5.0,1.0,2.0,0.0,0.289,0.221,0.416,0.299
Kyle Stowers,MIA,669065,117.0,399.0,457.0,115.0,66.0,21.0,3.0,25.0,61.0,73.0,48.0,3.0,125.0,5.0,4.0,1.0,6.0,5.0,1.0,0.288,0.278,0.544,0.553
Sal Frelick,MIL,686217,142.0,528.0,594.0,152.0,117.0,20.0,3.0,12.0,76.0,63.0,47.0,0.0,80.0,7.0,5.0,3.0,4.0,19.0,6.0,0.288,0.263,0.405,0.351
Brice Turang,MIL,668930,156.0,584.0,659.0,168.0,120.0,28.0,2.0,18.0,97.0,81.0,66.0,1.0,150.0,2.0,5.0,2.0,3.0,24.0,8.0,0.288,0.268,0.435,0.441
Brendan Donovan,STL,680977,118.0,460.0,515.0,132.0,90.0,32.0,0.0,10.0,64.0,50.0,42.0,3.0,67.0,7.0,4.0,2.0,4.0,3.0,3.0,0.287,0.292,0.422,0.462
Jahmai Jones,DET,663330,72.0,129.0,150.0,37.0,18.0,11.0,1.0,7.0,21.0,23.0,18.0,1.0,32.0,3.0,0.0,0.0,3.0,2.0,0.0,0.287,0.3,0.55,0.56
Alec Bohm,PHI,664761,120.0,464.0,504.0,133.0,101.0,18.0,3.0,11.0,53.0,59.0,29.0,0.0,82.0,5.0,6.0,0.0,16.0,2.0,0.0,0.287,0.284,0.409,0.426
Maikel Garcia,KCR,672580,160.0,595.0,666.0,170.0,110.0,39.0,5.0,16.0,81.0,74.0,62.0,0.0,84.0,1.0,5.0,3.0,14.0,23.0,9.0,0.286,0.287,0.449,0.437
Gabriel Moreno,ARI,672515,83.0,277.0,309.0,79.0,57.0,12.0,1.0,9.0,44.0,40.0,29.0,3.0,53.0,1.0,2.0,0.0,6.0,2.0,2.0,0.285,0.289,0.433,0.464
Dominic Smith,SFG,642086,63.0,204.0,225.0,58.0,41.0,12.0,0.0,5.0,26.0,33.0,15.0,0.0,42.0,2.0,4.0,0.0,5.0,2.0,0.0,0.284,0.259,0.417,0.406
Ivan Herrera,STL,671056,107.0,388.0,452.0,110.0,78.0,13.0,0.0,19.0,54.0,66.0,43.0,1.0,84.0,15.0,4.0,0.0,20.0,8.0,2.0,0.284,0.285,0.464,0.505
Xavier Edwards,MIA,669364,139.0,561.0,619.0,159.0,131.0,20.0,5.0,3.0,75.0,43.0,49.0,2.0,88.0,3.0,3.0,3.0,6.0,27.0,7.0,0.283,0.265,0.353,0.334
Ketel Marte,ARI,606466,126.0,480.0,556.0,136.0,80.0,28.0,0.0,28.0,87.0,72.0,64.0,6.0,83.0,9.0,3.0,0.0,12.0,4.0,2.0,0.283,0.298,0.517,0.548
Jose Ramirez,CLE,608070,158.0,593.0,673.0,168.0,101.0,34.0,3.0,30.0,103.0,85.0,66.0,22.0,74.0,8.0,5.0,0.0,9.0,44.0,7.0,0.283,0.294,0.503,0.46
Austin Martin,MIN,668885,50.0,156.0,181.0,44.0,34.0,8.0,1.0,1.0,22.0,7.0,22.0,0.0,31.0,1.0,0.0,2.0,6.0,11.0,4.0,0.282,0.284,0.365,0.405
Alejandro Kirk,TOR,672386,130.0,451.0,506.0,127.0,94.0,18.0,0.0,15.0,45.0,76.0,48.0,2.0,59.0,1.0,6.0,0.0,16.0,1.0,0.0,0.282,0.29,0.421,0.491
Shohei Ohtani,LAD,660271,158.0,611.0,727.0,172.0,83.0,25.0,9.0,55.0,146.0,102.0,109.0,20.0,187.0,3.0,2.0,0.0,9.0,20.0,6.0,0.282,0.288,0.622,0.672
Miguel Amaya,CHC,665804,28.0,96.0,103.0,27.0,14.0,9.0,0.0,4.0,14.0,25.0,4.0,0.0,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.281,0.254,0.5,0.415
Ramon Laureano,SDP,657656,132.0,441.0,488.0,124.0,72.0,26.0,2.0,24.0,72.0,76.0,35.0,1.0,119.0,8.0,4.0,0.0,10.0,7.0,4.0,0.281,0.282,0.512,0.531
Tyler Freeman,COL,671289,110.0,377.0,428.0,106.0,82.0,20.0,2.0,2.0,50.0,31.0,34.0,0.0,51.0,11.0,4.0,2.0,10.0,18.0,9.0,0.281,0.28,0.361,0.368
Ryan O'Hearn,SDP,656811,144.0,474.0,544.0,133.0,94.0,21.0,1.0,17.0,67.0,63.0,58.0,4.0,109.0,8.0,4.0,0.0,11.0,3.0,1.0,0.281,0.278,0.437,0.441
Brandon Marsh,PHI,669016,133.0,379.0,425.0,106.0,68.0,25.0,2.0,11.0,59.0,43.0,38.0,1.0,110.0,0.0,4.0,3.0,2.0,7.0,1.0,0.28,0.277,0.443,0.451
Hyeseong Kim,LAD,808975,71.0,161.0,170.0,45.0,35.0,6.0,1.0,3.0,19.0,17.0,7.0,0.0,52.0,1.0,0.0,1.0,0.0,13.0,1.0,0.28,0.229,0.385,0.324
Dillon Dingler,DET,693307,126.0,435.0,469.0,121.0,85.0,21.0,2.0,13.0,54.0,57.0,23.0,2.0,110.0,9.0,1.0,0.0,5.0,0.0,0.0,0.278,0.301,0.425,0.487
